Front	Back	Group	Chapter	Tags
addiction	verslaving, de	Things, qualities, and descriptions	Hoofdstuk 2	things_qualities_and_descriptions hoofdstuk_2
reduction / decrease	vermindering, de	Things, qualities, and descriptions	Hoofdstuk 1	things_qualities_and_descriptions hoofdstuk_1
deviation	afwijking, de	Things, qualities, and descriptions	Hoofdstuk 2	things_qualities_and_descriptions hoofdstuk_2
coarse / rude / rough	grof	Things, qualities, and descriptions	Hoofdstuk 4	things_qualities_and_descriptions hoofdstuk_4
flashy / conspicuous / gaudy	opzichtig	Things, qualities, and descriptions	Hoofdstuk 3	things_qualities_and_descriptions hoofdstuk_3
the other side	overkant, de	Things, qualities, and descriptions	Hoofdstuk 2	things_qualities_and_descriptions hoofdstuk_2
laborious / difficult	moeizaam	Things, qualities, and descriptions	Hoofdstuk 3	things_qualities_and_descriptions hoofdstuk_3
every time / repeatedly	telkens	Things, qualities, and descriptions	Hoofdstuk 2	things_qualities_and_descriptions hoofdstuk_2
thorough / thorough	grondig	Things, qualities, and descriptions	Hoofdstuk 5	things_qualities_and_descriptions hoofdstuk_5
insult / offense	belediging, de	Things, qualities, and descriptions	Hoofdstuk 1	things_qualities_and_descriptions hoofdstuk_1
depth	diepte, de	Things, qualities, and descriptions	Hoofdstuk 5	things_qualities_and_descriptions hoofdstuk_5
guidance / accompaniment	begeleiding, de	Things, qualities, and descriptions	Hoofdstuk 1	things_qualities_and_descriptions hoofdstuk_1
exclusively / solely	uitsluitend	Things, qualities, and descriptions	Hoofdstuk 4	things_qualities_and_descriptions hoofdstuk_4
building / premises / pledge	pand, het	Things, qualities, and descriptions	Hoofdstuk 6	things_qualities_and_descriptions hoofdstuk_6
lenient / accommodating	coulant	Things, qualities, and descriptions	Hoofdstuk 2	things_qualities_and_descriptions hoofdstuk_2
to overshoot one's goal / to go too far	doel, zijn – voorbij schieten	Idioms and fixed expressions	Hoofdstuk 5	idioms_and_fixed_expressions hoofdstuk_5
to conclude from / to deduce	opmaken (uit), (zich)	Idioms and fixed expressions	Hoofdstuk 3	idioms_and_fixed_expressions hoofdstuk_3
to come up / to be mentioned	sprake komen, ter	Idioms and fixed expressions	Hoofdstuk 2	idioms_and_fixed_expressions hoofdstuk_2
to resist / to oppose	verzetten, zich tegen	Idioms and fixed expressions	Hoofdstuk 4	idioms_and_fixed_expressions hoofdstuk_4
to leave your mark / to leave traces	sporen, je – achterlaten	Idioms and fixed expressions	Hoofdstuk 3	idioms_and_fixed_expressions hoofdstuk_3
from top to toe / from head to toe	top, van – tot teen	Idioms and fixed expressions	Hoofdstuk 3	idioms_and_fixed_expressions hoofdstuk_3
to feel elevated / to feel superior	verheven voelen, zich	Idioms and fixed expressions	Hoofdstuk 2	idioms_and_fixed_expressions hoofdstuk_2
to hurry	haasten, zich	Idioms and fixed expressions	Hoofdstuk 2	idioms_and_fixed_expressions hoofdstuk_2
it makes no sense	slaan, het slaat nergens op	Idioms and fixed expressions	Hoofdstuk 5	idioms_and_fixed_expressions hoofdstuk_5
to rub someone's nose in the facts	neus, iemand met de – op de feiten drukken	Idioms and fixed expressions	Hoofdstuk 2	idioms_and_fixed_expressions hoofdstuk_2
to escape (from)	ontkomen (aan)	Idioms and fixed expressions	Hoofdstuk 3	idioms_and_fixed_expressions hoofdstuk_3
to be annoyed by / to get irritated by	ergeren aan, zich	Idioms and fixed expressions	Hoofdstuk 2	idioms_and_fixed_expressions hoofdstuk_2
to set out / to go out	pad, op – gaan	Idioms and fixed expressions	Hoofdstuk 6	idioms_and_fixed_expressions hoofdstuk_6
to take up arms / to rally	geweer, in het – komen	Idioms and fixed expressions	Hoofdstuk 3	idioms_and_fixed_expressions hoofdstuk_3
to get/be confused	war, in de – raken/zijn	Idioms and fixed expressions	Hoofdstuk 2	idioms_and_fixed_expressions hoofdstuk_2
to be on the move / to be active	weer, in de – zijn	Idioms and fixed expressions	Hoofdstuk 3	idioms_and_fixed_expressions hoofdstuk_3
to have the say / to be in charge	zeggen, het voor het – hebben	Idioms and fixed expressions	Hoofdstuk 3	idioms_and_fixed_expressions hoofdstuk_3
to roll up one's sleeves / to get to work	handen, de – uit de mouwen steken	Idioms and fixed expressions	Hoofdstuk 2	idioms_and_fixed_expressions hoofdstuk_2
to control (oneself)	beheersen, (zich)	Idioms and fixed expressions	Hoofdstuk 2	idioms_and_fixed_expressions hoofdstuk_2
to commit to / to work for	inzetten voor, (zich)	Idioms and fixed expressions	Hoofdstuk 4	idioms_and_fixed_expressions hoofdstuk_4
to come out of nowhere / to drop from the sky	lucht, uit de – komen vallen	Idioms and fixed expressions	Hoofdstuk 5	idioms_and_fixed_expressions hoofdstuk_5
something you say 'you' to / something formal	u, iets waar je – tegen zegt	Idioms and fixed expressions	Hoofdstuk 2	idioms_and_fixed_expressions hoofdstuk_2
to be right / to have truth on your side	gelijk, het – aan je zijde hebben	Idioms and fixed expressions	Hoofdstuk 3	idioms_and_fixed_expressions hoofdstuk_3
at all costs / whatever it takes	koste wat (het) kost	Idioms and fixed expressions	Hoofdstuk 2	idioms_and_fixed_expressions hoofdstuk_2
things happen (in a certain way) / it goes on (in a certain way)	aan toe gaan, het gaat er (op een bepaalde manier) aan toe	Idioms and fixed expressions	Hoofdstuk 5	idioms_and_fixed_expressions hoofdstuk_5
to beat around the bush	draaien, ergens om –	Idioms and fixed expressions	Hoofdstuk 5	idioms_and_fixed_expressions hoofdstuk_5
to touch ground / to go under	grond, aan de – raken	Idioms and fixed expressions	Hoofdstuk 2	idioms_and_fixed_expressions hoofdstuk_2
the most positive thing about it / the best one can say	ervan af kunnen, het positiefste wat ervan af kan	Idioms and fixed expressions	Hoofdstuk 1	idioms_and_fixed_expressions hoofdstuk_1
that changes things / that's a different story	verhaal, dan wordt het een ander –	Idioms and fixed expressions	Hoofdstuk 2	idioms_and_fixed_expressions hoofdstuk_2
to get to work / to get started	slag, aan de – gaan	Idioms and fixed expressions	Hoofdstuk 2	idioms_and_fixed_expressions hoofdstuk_2
to see right through it	doorheen, er dwars – kijken	Idioms and fixed expressions	Hoofdstuk 5	idioms_and_fixed_expressions hoofdstuk_5
to make no secret of something / not to hide something	stoelen, iets niet onder – of banken steken	Idioms and fixed expressions	Hoofdstuk 5	idioms_and_fixed_expressions hoofdstuk_5
to lock (oneself) up	opsluiten, (zich)	Idioms and fixed expressions	Hoofdstuk 5	idioms_and_fixed_expressions hoofdstuk_5
the penny drops / it dawns on someone	kwartje, het – valt	Idioms and fixed expressions	Hoofdstuk 6	idioms_and_fixed_expressions hoofdstuk_6
to distinguish oneself (by)	onderscheiden (door), (zich)	Idioms and fixed expressions	Hoofdstuk 5	idioms_and_fixed_expressions hoofdstuk_5
something is not right / something is wrong	orde, er is iets niet in –	Idioms and fixed expressions	Hoofdstuk 2	idioms_and_fixed_expressions hoofdstuk_2
it never crosses my mind / I wouldn't dream of it	haar, geen – op m'n hoofd die daaraan denkt	Idioms and fixed expressions	Hoofdstuk 3	idioms_and_fixed_expressions hoofdstuk_3
by nature / naturally	nature, van	Idioms and fixed expressions	Hoofdstuk 1	idioms_and_fixed_expressions hoofdstuk_1
to be surprised by something	opkijken, ergens van –	Idioms and fixed expressions	Hoofdstuk 1	idioms_and_fixed_expressions hoofdstuk_1
to imagine / to recall something	geest halen, zich iets voor de	Idioms and fixed expressions	Hoofdstuk 1	idioms_and_fixed_expressions hoofdstuk_1
to talk about it	hebben, het erover –	Idioms and fixed expressions	Hoofdstuk 6	idioms_and_fixed_expressions hoofdstuk_6
not to get others on your side / not to convince others	meekrijgen, het niet –	Idioms and fixed expressions	Hoofdstuk 5	idioms_and_fixed_expressions hoofdstuk_5
to put something on the market	markt, iets in de – zetten	Idioms and fixed expressions	Hoofdstuk 2	idioms_and_fixed_expressions hoofdstuk_2
to get straight to the point	deur, met de – in huis vallen	Idioms and fixed expressions	Hoofdstuk 5	idioms_and_fixed_expressions hoofdstuk_5
it doesn't come to you easily / it doesn't fall into your lap	aanwaaien, het komt je niet –	Idioms and fixed expressions	Hoofdstuk 3	idioms_and_fixed_expressions hoofdstuk_3
to one's heart's content	hartenlust, naar –	Idioms and fixed expressions	Hoofdstuk 6	idioms_and_fixed_expressions hoofdstuk_6
not to downplay / not to dismiss	uitvlakken, iets niet –	Idioms and fixed expressions	Hoofdstuk 1	idioms_and_fixed_expressions hoofdstuk_1
to go with every wind / to be a weathervane	winden, met alle – meewaaien	Idioms and fixed expressions	Hoofdstuk 5	idioms_and_fixed_expressions hoofdstuk_5
to forget about something / to put something out of your head	hoofd, iets uit je – laten	Idioms and fixed expressions	Hoofdstuk 5	idioms_and_fixed_expressions hoofdstuk_5
to scrutinize / to examine closely	loep, iets onder de – nemen	Idioms and fixed expressions	Hoofdstuk 3	idioms_and_fixed_expressions hoofdstuk_3
to not mince words / to speak one's mind	blad, geen – voor de mond nemen	Idioms and fixed expressions	Hoofdstuk 3	idioms_and_fixed_expressions hoofdstuk_3
to be a matter of / to be about	sprake (zijn) van	Idioms and fixed expressions	Hoofdstuk 2	idioms_and_fixed_expressions hoofdstuk_2
to open your eyes / to be an eye-opener	ogen, je de – doen openen	Idioms and fixed expressions	Hoofdstuk 6	idioms_and_fixed_expressions hoofdstuk_6
