Front	Back	Group	Chapter	Tags
verslaving, de	addiction	Things, qualities, and descriptions	Hoofdstuk 2	things_qualities_and_descriptions hoofdstuk_2
vermindering, de	reduction / decrease	Things, qualities, and descriptions	Hoofdstuk 1	things_qualities_and_descriptions hoofdstuk_1
afwijking, de	deviation	Things, qualities, and descriptions	Hoofdstuk 2	things_qualities_and_descriptions hoofdstuk_2
grof	coarse / rude / rough	Things, qualities, and descriptions	Hoofdstuk 4	things_qualities_and_descriptions hoofdstuk_4
opzichtig	flashy / conspicuous / gaudy	Things, qualities, and descriptions	Hoofdstuk 3	things_qualities_and_descriptions hoofdstuk_3
overkant, de	the other side	Things, qualities, and descriptions	Hoofdstuk 2	things_qualities_and_descriptions hoofdstuk_2
moeizaam	laborious / difficult	Things, qualities, and descriptions	Hoofdstuk 3	things_qualities_and_descriptions hoofdstuk_3
telkens	every time / repeatedly	Things, qualities, and descriptions	Hoofdstuk 2	things_qualities_and_descriptions hoofdstuk_2
grondig	thorough / thorough	Things, qualities, and descriptions	Hoofdstuk 5	things_qualities_and_descriptions hoofdstuk_5
belediging, de	insult / offense	Things, qualities, and descriptions	Hoofdstuk 1	things_qualities_and_descriptions hoofdstuk_1
diepte, de	depth	Things, qualities, and descriptions	Hoofdstuk 5	things_qualities_and_descriptions hoofdstuk_5
begeleiding, de	guidance / accompaniment	Things, qualities, and descriptions	Hoofdstuk 1	things_qualities_and_descriptions hoofdstuk_1
uitsluitend	exclusively / solely	Things, qualities, and descriptions	Hoofdstuk 4	things_qualities_and_descriptions hoofdstuk_4
pand, het	building / premises / pledge	Things, qualities, and descriptions	Hoofdstuk 6	things_qualities_and_descriptions hoofdstuk_6
coulant	lenient / accommodating	Things, qualities, and descriptions	Hoofdstuk 2	things_qualities_and_descriptions hoofdstuk_2
doel, zijn – voorbij schieten	to overshoot one's goal / to go too far	Idioms and fixed expressions	Hoofdstuk 5	idioms_and_fixed_expressions hoofdstuk_5
opmaken (uit), (zich)	to conclude from / to deduce	Idioms and fixed expressions	Hoofdstuk 3	idioms_and_fixed_expressions hoofdstuk_3
sprake komen, ter	to come up / to be mentioned	Idioms and fixed expressions	Hoofdstuk 2	idioms_and_fixed_expressions hoofdstuk_2
verzetten, zich tegen	to resist / to oppose	Idioms and fixed expressions	Hoofdstuk 4	idioms_and_fixed_expressions hoofdstuk_4
sporen, je – achterlaten	to leave your mark / to leave traces	Idioms and fixed expressions	Hoofdstuk 3	idioms_and_fixed_expressions hoofdstuk_3
top, van – tot teen	from top to toe / from head to toe	Idioms and fixed expressions	Hoofdstuk 3	idioms_and_fixed_expressions hoofdstuk_3
verheven voelen, zich	to feel elevated / to feel superior	Idioms and fixed expressions	Hoofdstuk 2	idioms_and_fixed_expressions hoofdstuk_2
haasten, zich	to hurry	Idioms and fixed expressions	Hoofdstuk 2	idioms_and_fixed_expressions hoofdstuk_2
slaan, het slaat nergens op	it makes no sense	Idioms and fixed expressions	Hoofdstuk 5	idioms_and_fixed_expressions hoofdstuk_5
neus, iemand met de – op de feiten drukken	to rub someone's nose in the facts	Idioms and fixed expressions	Hoofdstuk 2	idioms_and_fixed_expressions hoofdstuk_2
ontkomen (aan)	to escape (from)	Idioms and fixed expressions	Hoofdstuk 3	idioms_and_fixed_expressions hoofdstuk_3
ergeren aan, zich	to be annoyed by / to get irritated by	Idioms and fixed expressions	Hoofdstuk 2	idioms_and_fixed_expressions hoofdstuk_2
pad, op – gaan	to set out / to go out	Idioms and fixed expressions	Hoofdstuk 6	idioms_and_fixed_expressions hoofdstuk_6
geweer, in het – komen	to take up arms / to rally	Idioms and fixed expressions	Hoofdstuk 3	idioms_and_fixed_expressions hoofdstuk_3
war, in de – raken/zijn	to get/be confused	Idioms and fixed expressions	Hoofdstuk 2	idioms_and_fixed_expressions hoofdstuk_2
weer, in de – zijn	to be on the move / to be active	Idioms and fixed expressions	Hoofdstuk 3	idioms_and_fixed_expressions hoofdstuk_3
zeggen, het voor het – hebben	to have the say / to be in charge	Idioms and fixed expressions	Hoofdstuk 3	idioms_and_fixed_expressions hoofdstuk_3
handen, de – uit de mouwen steken	to roll up one's sleeves / to get to work	Idioms and fixed expressions	Hoofdstuk 2	idioms_and_fixed_expressions hoofdstuk_2
beheersen, (zich)	to control (oneself)	Idioms and fixed expressions	Hoofdstuk 2	idioms_and_fixed_expressions hoofdstuk_2
inzetten voor, (zich)	to commit to / to work for	Idioms and fixed expressions	Hoofdstuk 4	idioms_and_fixed_expressions hoofdstuk_4
lucht, uit de – komen vallen	to come out of nowhere / to drop from the sky	Idioms and fixed expressions	Hoofdstuk 5	idioms_and_fixed_expressions hoofdstuk_5
u, iets waar je – tegen zegt	something you say 'you' to / something formal	Idioms and fixed expressions	Hoofdstuk 2	idioms_and_fixed_expressions hoofdstuk_2
gelijk, het – aan je zijde hebben	to be right / to have truth on your side	Idioms and fixed expressions	Hoofdstuk 3	idioms_and_fixed_expressions hoofdstuk_3
koste wat (het) kost	at all costs / whatever it takes	Idioms and fixed expressions	Hoofdstuk 2	idioms_and_fixed_expressions hoofdstuk_2
aan toe gaan, het gaat er (op een bepaalde manier) aan toe	things happen (in a certain way) / it goes on (in a certain way)	Idioms and fixed expressions	Hoofdstuk 5	idioms_and_fixed_expressions hoofdstuk_5
draaien, ergens om –	to beat around the bush	Idioms and fixed expressions	Hoofdstuk 5	idioms_and_fixed_expressions hoofdstuk_5
grond, aan de – raken	to touch ground / to go under	Idioms and fixed expressions	Hoofdstuk 2	idioms_and_fixed_expressions hoofdstuk_2
ervan af kunnen, het positiefste wat ervan af kan	the most positive thing about it / the best one can say	Idioms and fixed expressions	Hoofdstuk 1	idioms_and_fixed_expressions hoofdstuk_1
verhaal, dan wordt het een ander –	that changes things / that's a different story	Idioms and fixed expressions	Hoofdstuk 2	idioms_and_fixed_expressions hoofdstuk_2
slag, aan de – gaan	to get to work / to get started	Idioms and fixed expressions	Hoofdstuk 2	idioms_and_fixed_expressions hoofdstuk_2
doorheen, er dwars – kijken	to see right through it	Idioms and fixed expressions	Hoofdstuk 5	idioms_and_fixed_expressions hoofdstuk_5
stoelen, iets niet onder – of banken steken	to make no secret of something / not to hide something	Idioms and fixed expressions	Hoofdstuk 5	idioms_and_fixed_expressions hoofdstuk_5
opsluiten, (zich)	to lock (oneself) up	Idioms and fixed expressions	Hoofdstuk 5	idioms_and_fixed_expressions hoofdstuk_5
kwartje, het – valt	the penny drops / it dawns on someone	Idioms and fixed expressions	Hoofdstuk 6	idioms_and_fixed_expressions hoofdstuk_6
onderscheiden (door), (zich)	to distinguish oneself (by)	Idioms and fixed expressions	Hoofdstuk 5	idioms_and_fixed_expressions hoofdstuk_5
orde, er is iets niet in –	something is not right / something is wrong	Idioms and fixed expressions	Hoofdstuk 2	idioms_and_fixed_expressions hoofdstuk_2
haar, geen – op m'n hoofd die daaraan denkt	it never crosses my mind / I wouldn't dream of it	Idioms and fixed expressions	Hoofdstuk 3	idioms_and_fixed_expressions hoofdstuk_3
nature, van	by nature / naturally	Idioms and fixed expressions	Hoofdstuk 1	idioms_and_fixed_expressions hoofdstuk_1
opkijken, ergens van –	to be surprised by something	Idioms and fixed expressions	Hoofdstuk 1	idioms_and_fixed_expressions hoofdstuk_1
geest halen, zich iets voor de	to imagine / to recall something	Idioms and fixed expressions	Hoofdstuk 1	idioms_and_fixed_expressions hoofdstuk_1
hebben, het erover –	to talk about it	Idioms and fixed expressions	Hoofdstuk 6	idioms_and_fixed_expressions hoofdstuk_6
meekrijgen, het niet –	not to get others on your side / not to convince others	Idioms and fixed expressions	Hoofdstuk 5	idioms_and_fixed_expressions hoofdstuk_5
markt, iets in de – zetten	to put something on the market	Idioms and fixed expressions	Hoofdstuk 2	idioms_and_fixed_expressions hoofdstuk_2
deur, met de – in huis vallen	to get straight to the point	Idioms and fixed expressions	Hoofdstuk 5	idioms_and_fixed_expressions hoofdstuk_5
aanwaaien, het komt je niet –	it doesn't come to you easily / it doesn't fall into your lap	Idioms and fixed expressions	Hoofdstuk 3	idioms_and_fixed_expressions hoofdstuk_3
hartenlust, naar –	to one's heart's content	Idioms and fixed expressions	Hoofdstuk 6	idioms_and_fixed_expressions hoofdstuk_6
uitvlakken, iets niet –	not to downplay / not to dismiss	Idioms and fixed expressions	Hoofdstuk 1	idioms_and_fixed_expressions hoofdstuk_1
winden, met alle – meewaaien	to go with every wind / to be a weathervane	Idioms and fixed expressions	Hoofdstuk 5	idioms_and_fixed_expressions hoofdstuk_5
hoofd, iets uit je – laten	to forget about something / to put something out of your head	Idioms and fixed expressions	Hoofdstuk 5	idioms_and_fixed_expressions hoofdstuk_5
loep, iets onder de – nemen	to scrutinize / to examine closely	Idioms and fixed expressions	Hoofdstuk 3	idioms_and_fixed_expressions hoofdstuk_3
blad, geen – voor de mond nemen	to not mince words / to speak one's mind	Idioms and fixed expressions	Hoofdstuk 3	idioms_and_fixed_expressions hoofdstuk_3
sprake (zijn) van	to be a matter of / to be about	Idioms and fixed expressions	Hoofdstuk 2	idioms_and_fixed_expressions hoofdstuk_2
ogen, je de – doen openen	to open your eyes / to be an eye-opener	Idioms and fixed expressions	Hoofdstuk 6	idioms_and_fixed_expressions hoofdstuk_6
